"source_id","experiment_id","member_id","grid_label","nominal_resolution","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r11i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r2i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r4i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r5i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r6i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r3i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r7i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r8i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r9i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","historical","r10i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","ssp126","r4i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","ssp585","r11i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","ssp585","r10i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","ssp585","r4i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","ssp126","r11i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2","ssp126","r10i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","historical","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","historical","r2i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","historical","r3i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","ssp585","r2i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","ssp585","r3i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","ssp585","r4i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","ssp585","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","ssp585","r5i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM","ssp126","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM-FV2","historical","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM-FV2","historical","r3i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CESM2-WACCM-FV2","historical","r2i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CMCC-ESM2","ssp126","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CMCC-ESM2","historical","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CMCC-ESM2","ssp585","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CanESM5","ssp126","r1i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CanESM5","ssp126","r7i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CanESM5","ssp126","r9i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
"CanESM5","ssp126","r5i1p1f1","gn","100 km","chl","so","mlotst","siconc","zos","tauuo","tauvo","tos","uo","vo"
